"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Thu Oct 19 23:31:34 +0000 2023","1.7151487172869E+18","KARNI ILYAS ITU JONGOS UTAMANYA ANIES SI PENIPU ULUNG.","0","0","0","1","in","1.698222279573E+18","1.7151487172869E+18","peyekku63","https://twitter.com/peyekku63/status/1715148717286916289"
"Thu Oct 19 23:30:44 +0000 2023","1.7151485050006E+18","Biasanya begini , kalau :  - Kelompok lain, dikomplain. - Kelompok sendiri, itu keinginan rakyat.  Sakarepe Dewe iku...  Akibat Relawan Pengantar Anies~Muhaimin Terlalu Banyak â€“ Hasto Komplen  https://t.co/yodpUSVjT5","7","32","36","129","in","1.2200191505856E+18","1.7151485050006E+18","WongAlasRoban","https://twitter.com/WongAlasRoban/status/1715148505000644879"
"Thu Oct 19 23:30:29 +0000 2023","1.7151484436883E+18","Kenapa Hasto ga pilih hari lain, Padahal masih banyak hari lain sampai tanggal 25, bukannya Hasto harusnya sudah tahu bahwa AMIN mendaftarkan diri tanggal 19 Oktober 2023,  kok Hasto seolah memaksakan diri untuk mengikuti hari nya AMIN (Anies-Muhaimin) yaah ?ðŸ¤” https://t.co/BaH0nRx5XV","0","1","0","1","in","1.4783120435223E+18","1.7151484436883E+18","tomy46774","https://twitter.com/tomy46774/status/1715148443688345639"
"Thu Oct 19 23:27:56 +0000 2023","1.7151478035368E+18","BILA TEST KEJIWAAN SECARA FAIR ANIES TIDAK LOLOS KARENA KECENDERUNGAN MENIPU SEMUA YG BISA DITIPUNYA. BILA TEST KEJIWAAN LOLOS, ITU PASTI DOKTER JIWANYA DITIPUNYA JUGA.","0","0","0","1","in","1.698222279573E+18","1.7151478035368E+18","peyekku63","https://twitter.com/peyekku63/status/1715147803536839093"
"Thu Oct 19 23:26:11 +0000 2023","1.7151473598966E+18","@hasyimmah Abud/Imin&amp wowo udh out of my choice. Mahfud aja nolak dgn abud pdhal udh ditawarin krn politik identitas itu. sikap mahfud sama dgnku. wowo is tiresome,udh 3X kalah, what would make him win this time?  Pokoke yg punya kasus HAM &amp  SARA no way. Prinsip dsr itu.","0","31","1","61","in","9.2195059030899E+17","1.7151405640087E+18","kezia_stal","https://twitter.com/kezia_stal/status/1715147359896613007"
"Thu Oct 19 23:26:01 +0000 2023","1.7151473188222E+18","@tvOneNews Kalau serius sisa hidup buat Indonesia, batalkan nyaleg, gabung ama Anies, jadi Menhan yg beneran di kabinet Anies, alias bener2 buat Indonesia jadi macan asia..., bukan keledai...","0","1","0","4","in","1.5355980926779E+18","1.7151411813097E+18","AFDahlius","https://twitter.com/AFDahlius/status/1715147318822162453"
"Thu Oct 19 23:23:57 +0000 2023","1.7151468001168E+18","Mahfud Md Jadi Bacawapres,  Cak Fauzi: Sudah Waktunya  Orang Madura Memimpin  Bupati Sumenep ini menilai Mahfud MD adalah tokoh yg mampu memupus stikma bahwa SDM Madura jauh tertinggal dg daerah lain  Masyarakat Madura harus Bangga Mahfud jadi Cawapres    https://t.co/DSBtVDJ7VS https://t.co/s21tWc3Dm6","0","6","15","60","in","1.2485381489901E+18","1.7151468001168E+18","Ghurem2","https://twitter.com/Ghurem2/status/1715146800116781269"
"Thu Oct 19 23:23:53 +0000 2023","1.7151467835953E+18","@ruhutsitompul Dulu kau pinter hut tp tmbah tua nambah gobloknya. Update itu yg berkualitas knp https://t.co/nhonOF8i83","0","0","1","7","in","247618974","1.7149370087356E+18","cak_rif","https://twitter.com/cak_rif/status/1715146783595348200"
"Thu Oct 19 23:20:22 +0000 2023","1.7151458967937E+18","@datuakrajoangek Gak cuma pendukung anies, pendukung ganjar juga hampir sama, Ampun dah bebalnya sampe mengalir jauh... Bukti valid klo iq mereka 78 ðŸ¤ª","0","1","0","3","in","1.5919929149386E+18","1.715144829876E+18","Gpermanaku","https://twitter.com/Gpermanaku/status/1715145896793694266"
"Thu Oct 19 23:18:05 +0000 2023","1.7151453229709E+18","@nieke_olivia Ya Allah Semoga Engkau memberikan Kemudahan mu Utk psgn Anies Muhaimin tuk jd RI 1&amp 2 di thn 2024.","0","1","0","1","in","1.5988573336222E+18","1.7148837521349E+18","Alexand80699698","https://twitter.com/Alexand80699698/status/1715145322970873981"
"Thu Oct 19 23:16:56 +0000 2023","1.7151450315884E+18","@abu_waras Ini karena sudah tidak ada lagi tunjangan narasi karena kenyataannya Anies tetap lolos nyapres dan melahirkan banyak pendukung","0","0","0","8","in","1.3825250286511E+18","1.714941107833E+18","BroerJazz","https://twitter.com/BroerJazz/status/1715145031588385267"
"Thu Oct 19 23:16:07 +0000 2023","1.715144829876E+18","Pendukung Mas Anies literasinya payah sekali. Nanyain buat apa? Emang ikutan waktu itu?","1","93","5","57","in","120663699","1.715144829876E+18","datuakrajoangek","https://twitter.com/datuakrajoangek/status/1715144829875970500"
"Thu Oct 19 23:14:34 +0000 2023","1.7151444391766E+18","@tvOneNews Mobil mogok, Bus nyangkut kabel semua gara-gara Anies, Otaknya bisa segoblok ituðŸ˜‚","0","1","1","52","in","1.4073784269572E+18","1.715066364808E+18","shakurata_08","https://twitter.com/shakurata_08/status/1715144439176597600"
"Thu Oct 19 23:11:20 +0000 2023","1.715143622512E+18","Ratusan Ribu Massa Meriahkan Pendaftaran Pasangan Anies-Cak Imin (AMIN) di KPU, Kota Jakarta Diserbu . Namun ada yang agak laen dengan dua ibu2 ini,.hehe gpp bu, hati ga bs bohong ðŸ¤­ https://t.co/HFH6SN49Nt","3","3","29","84","in","239430211","1.715143622512E+18","dfrnm","https://twitter.com/dfrnm/status/1715143622512038127"
"Thu Oct 19 23:10:57 +0000 2023","1.7151435274145E+18","@C4kDeep_ Tolongin atuh cak","0","1","0","1","in","1.2803036553049E+18","1.7150276451998E+18","Iyaaaa_iniaku","https://twitter.com/Iyaaaa_iniaku/status/1715143527414542343"
