"text","sentiment"
"Ribuan warga sambut Ganjar Pranowo saat Kampanye Akbar di Manggarai Nusa Tenggara Timur  Ganjar-Mahfud M3nang Satu Putaran #GanjarMahfud2024  🤟 https://t.co/El97iWW3he","1"
"@UGM_FESS di Jateng yg paling aku suka sekolah yg di bawah naungan Pemprov (SMAN/SMKN) itu GRATIS. Bahkan pernah saat Musrenbang di Rembang (kalo ga salah), di situ hadir perwakilan unsur anak² dari Forum Anak, ditanya pak Ganjar apakah ada pungutan di sekolahnya, anak itu jawab jujur—","1"
"Opini jujur dong buat warga Jateng tentang kepemimpinan Ganjar dan warga DKI tentang kepemimpinan Anies ugm_fess. ?","0"
"Ada salam dari Mas @peter_hari bwat klen semua skaar.. Kepada generasi muda dan Lasekar nya Wagiman dimanapun kalian berada tetap semangat,pantang menyerah, militan dalam memenangkan Ganjar Mahfud. Jangan takut kepada intimidasi lawan kecurangan dan jangan pilih Penculik yang… https://t.co/iYsosKXDfQ""","1"
"Kalo Ganjar Pranowo sudah ORASI, semua orang pasti MERINDING mendengarnya  Pastikan kita tidak takut INTIMIDASI, tidak takut kalo DITEKAN  Satu kata, LAWANNNN  We love you Ruteng  #GanjarMahfud2024 https://t.co/TV77XfPypQ","1"
"Ganjar Pranowo bertatap muka dengan segenap biarawan/i di Aula keuskupan Ruteng.  Kita sedang berjuang mencari kepemimpinan nasional yang menjunjung tinggi nilai etika dan moral. https://t.co/ihFqBLvDF2","1"
"Deputi Politik 5.0 TPN Ganjar-Mahfud Andi Widjajanto kembali memastikan Mahfud akan mundur. Namun, diungkapkannya, cawapres nomor urut 3 itu tengah menyiapkan transisi di Kemenko Polhukam. Pak mahfud pasti mundur. Tinggal sekarang bagaimana menyiapkan transisi di Kemenko… https://t.co/i7u1kzrtCt""","-1"
"Bendera Ganjarian Spartan berkibar di Ruteng  Kami para Spartan selalu ada dimana-mana, siap menyambut kehadiran Ganjar Mahfud  Semangat Spartan tak akan pernah padam, semangat Spartan selalu MEMBARA bahkan ditengah ombak sekalipun  #GanjarianSpartan #GanjarMahfud2024 https://t.co/bOl1tgzk8O","1"
"Ganjar Mahfud di NTT menaaang...  Gaspolll 🤟🤟🤟  #GanjarMahfud2024 https://t.co/CbsIicEsIB","1"
"Yakin Ganjar Mahfud akan menang di Ruteng dan Manggarai Flores. Gaspolll 🤟🤟🤟  #GanjarMahfud2024 https://t.co/sy38oAqCvS","1"
"NTT Keren👍 Salam Tiga Jari🤟  Calon presiden (capres) nomor urut 3, Ganjar Pranowo menggelar kampanye akbar di Stadion Golo Dukal, Manggarai, Nusa Tenggara Timur (NTT) 26/1/2024 https://t.co/ZLfTnYVOFv","1"
"Di hari Jumat yang penuh barokah ini jangan lupa doakan semoga Prabowo-Gibran cukup satu putaran.  Putaran kedua biar Anies-Imin vs Ganjar-Mahfud. 👍","1"
"Kami Bangga MelihatMu Ibu Siti Atikoh Ganjar Pranowo. 👍🤟❤️ https://t.co/LZRgRBjdk3","1"
"Ruteng NTT Membara menyambut anak kandung reformasi, Ganjar Pranowo  Kita bersatu tanpa INTIMIDASI, kita melangkah tanpa rasa TAKUT, karena kita bersama rakyat  Pastikan orang baik ini terpilih melawan kekuasaan yang MENINDAS  #GanjarMahfud2024 https://t.co/tzx08VaX6o","1"
"Kalau sambutannya selalu ramai begini, bisa² Ganjar Mahfud menang satu putaran.  Insya Allah 🤟🤟🤟 https://t.co/Kba8PR8QDZ","1"
"MERINDING..!! asli gw Merinding melihat Video ini. Aura Pak @ganjarpranowo sangat kuat. Bismillah..Pak Ganjar Presiden RI di 2024 nanti yaa🙏 • #GanjarMahfud2024 #L3bihbaik https://t.co/5Dr9xSloRe","1"
"Aku bangga Baju Adat Daerahku di kenakan oleh capresKu,Ganjar Pranowo..❤❤❤ https://t.co/UURfhHEfNE","1"
"Prabowo - Gibran Menang 1 Putaran   Anies Baswedan – Muhaimin Iskandar 17,1   Prabowo – Gibran mendapatkan 55,3 persen Ganjar Pranowo – Mahfud MD memperoleh 20,2 persen  #GueMauSatuPutaran https://t.co/ewKT5QgwvQ","-1"
"Denny Cagur Sapa Warga Kab. Bandung  Dalam kunjungannya di Kabupaten Bandung, Denny Cagur disambut antusias oleh warga yang ingin berfoto bersamanya. Selain itu, ia juga memanfaatkan kesempatan tersebut untuk mensosialisasikan program Ganjar-Mahfud serta memberikan pengetahuan… https://t.co/dsSWHYPfHw","0"
"@undipmenfess hahaha asli buat mahasiswa yg menengah kebawah, program Ganjar Mahfud yg 1 keluarga kurang mampu, di biayai 1 untuk lulus sarjana itu bagus bgt, dan bisa bikin keluarganya kebantu kalo udah lulus dapet kerja","1"
"Ganjar Pranowo kampanye Akbar di stadion Golo Dungkal Ruteng, NTT.   Antusias masyarakat di Hajatan Rakyat sangat luar biasa.   #GanjarMahfud2024 https://t.co/wN5fXFAaZu","1"
"Ganjaaar...Ganjaaar...Ganjaarr..  Teriakan warga Ruteng menyambut pak Ganjar di Bandara Frans Sales Lega. Ribuan warga tumplek blek penuhi bandara.  Rame polll 🤟🤟🤟 #GanjarMahfud2024 https://t.co/chi2wCPPVE","1"
"Ganjar Presiden Rakyat 🤟  Capres nomor urut 3 Ganjar Pranowo melakukan rangkaian kampanye di Kota Ruteng, Manggarai, NTT, Jumat (26/1/2024). Kedatangannya ke NTT langsung bertemu dengan Uskup Ruteng untuk melakukan dialog kebangsaan.  @ganjarpranowo bersama rombongan tiba pukul… https://t.co/RSI9QWuQvL","1"
"Terima kasih 🫡🫡🫡","0"
"Biar pada paham betapa joroknya kerja Tim Buzzer Beras dan Tim Kere Hore karena Ganjar Mahfud konsisten menang diakar rumput  🤟😁🤟  Kominfo Ungkap Penyebab Keyword Mahfud Hilang di Pencarian X https://t.co/WJk9UIZftW","1"
"Fitnah terhadap Ganjar yg terus diulang-ulang pendukung Prabowo.  Yg ajukan syarat pada FIFA pildun U20 tanpa Israel itu Kemenpora bukan Ganjar. Ganjar hanya mendukung langkah pemerintah. Anehnya giliran Kemenpora gagal, yg disalahkan Ganjar. Pdhl mereka tau Kemenpora itu dibawah… https://t.co/5WUtQzfdPw","1"
". . Pilpres kali ini Enak banget .. Kita milih Ganjar .. Tapi dikasi Bansos dari Capres laen 😂🤣😂🤣😂  Apalagi kalau pas Hari H ada Serangan Fajar"" nyawer-nyawer Duwit  Duit sama Bansosnya kita sikat .. Tapi soal milih mah tetep ikut kata Hati .. Ganjar Mahfud pilihan kita… https://t.co/7dC3p4Wdhn""","1"
"Naaah ini Yg Kita Tunggu2 ‼️  Keputusan Kasultanan Jogja  Dukung GANJAR-MAHFUD Tidak Main2 Mengandung Makna Yg Dlm.  Dlm Urusan Dukung Mendukung Tradisi Keraton Jawa Itu Proses  Ritual Yg Panjang Sebelum Menjatuhkan Pilihan.  Fix Wahyu Pulung Nusantoro Jatuh ke Pk GANJAR 🤘🇮🇩 https://t.co/ZDlwvneLA4","1"
"Sambutan Bpk Uskup Ruteng  Jalan jalan ke kota Ruteng Membawa keranjang Tak lupa sepotong roti bakar Selamat datang Pak Ganjar Kami menyambut dgn hati gembira https://t.co/GFxksNwqPr","1"
"Sahabat Data, secara berseri Kompas menerbitkan Arsip Foto tentang kandidat Pilpres. Berikut ini cerita tentang Ganjar Pranowo (@ganjarpranowo). #MudaMemilih   🟠 [ UTAS ]  Cari tahu di sini: https://t.co/v0WoMAQN8H  Artikel #Pemilu2024 ini gratis untuk dibaca. https://t.co/m7qiVblCtB","0"
"MAHFUD MD ITU PROFESSOR ABAL ABAL.  BAHKAN DLM BIDANG HUKUM BLM BISA DITERAPKAN DGN BAIK SEWAKTU MENJABAT.   KORUPTOR SPRTI GANJAR DAN ANIESPUN MASIH DIBIARKAN BERKELIARAN, ANEHNYA IKUT PULA DLM COPRAS CAPRES 2024.   https://t.co/bM7tfIKlJU","-1"
"@Choppucino emang pendukung di 212 siapa aja? haikap hassan? di prabowo, neno warisman? di prabowo, KH. Maaruf Amin? jadi wapres jokowi, yusuf mansur? pendukung ganjar,. kok lu ga mempermasalahkan mereka, terus untuk FPI selama Anies gub gmn? ga gmn gmn juga kan","-1"
"Ganjar Sindir Food Estate: Singkong Gak Tumbuh Terus Kayunya Kemana?    Calon presiden nomor urut 03 @ganjarpranowo menyinggung kegagalan proyek food estate yang menjadi tanggung jawabn Menteri Pertahanan Prabowo Subianto di Gunung Mas, Kalimantan Tengah.   Mencuat kalau proyek… https://t.co/NhbkT44bsg","0"
"@azilaster Malah pamer 😁😁😁","0"
"Keren banget !! Banteng muda Bali siap menangkan Ganjar-Mahfud satu putaran 🤟 https://t.co/Ux8LZb75QH","1"
