text,sentiment
"@Ikrambukaniqram @elisa_jkt Antara dukung Ganjar beneran atau emang profesi dia itu buzzer. Buzzer Ganjar banyak soalnya, jadi mungkin nyambi jadi buzzer Israel juga. Lumayan buat tambahanðŸ˜„",0
Dengan memilih Ganjar - Machfud anda telah menghindarkan kembalinya ORDE BARU yang OTORITER dari bumi Indonesia https://t.co/HSZZxTpMjY,0
Salah satu prestasi pak Mahfud MD adalah membubarkan FPI .. jgn lupa ya Genk https://t.co/E3DpbRgeqm,0
"@AdeSudr90969850 @ganjarpranowo @mohmahfudmd Kata Mahfud tdk ada keluar duit utk cawapres,tp dari cukong oligarki ky nya berlimpah",0
"Ganjar Tak Akan Beri Karpet Merah Kekuasaan"" untuk Alam Ganjar jika Jadi Presiden https://t.co/JYB9zFfPTx""",0
"Capres Ganjar Pranowo tiba di Tugu Proklamasi, Jalan Proklamasi, Jakarta Pusat, Kamis (19/10/2023), sekitar pukul 10.15 WIB.   Ganjar Mahfud menyapa pendukungnya sebelum mendaftar ke KPU.   Bisa semeriah gini yak?   #SahabatGanjar  #GanjarMahfud2024 https://t.co/rs5EWejJDD",0
"@Muslim_AntiPKI9 Mantap, pak Mahfud kritisi keras menkopolhukam..!!",1
"@lady_bugg11 same ja minda pencacai PN SOLISIDTOR tu hari2 ratib tukaran ringgi usd ok,kikikiki https://t.co/LHaYuv5CSF",0
"Kisah Vina Amalia, Putri Mahfud MD Pernah Dikira Anak Orang Tak Mampu saat Kuliah https://t.co/4UM2dkVFR1 #trending",0
SENGGAMA (Siap Menang Ganjar-Mahfud),1
"@alextham878 Kalau mamak suruh stop , apa Mahfud berani maju ?",0
@RaniKancana Ganjar Mahfud pilihan terbaik ðŸ‘ðŸ‘,1
"@Ayahanda_MD @bossku_team @NajibRazak @Alamurni @thanenthiran3 @zlk69 @Bossbm17 @mynewshub @fikhwanBait @HamdanRukun @NikYahya2 @Jacob_Hendo7 @umnoonline @FansuriShafie @faththebee X perlu tunggu sampai hujung taun tuan, benda dah terang lg bersuluh ZH is showing his true color. Membebaskan DSNR hanyala retorik ZH.",0
Sepakat dengan Pak Ganjar. Kita tunggu sikap dari Pak Jokowi.,0
"@iskandarzulfi14 @Solisidtor yg ni lagi dasyat bukan SAMPAH tapi TAHI NAJIS PN,kikiki",0
